,Avg_BPM,Session_Duration (hours),Experience_Level,Calories_Burned
0,157,1.69,3,1313.0
1,151,1.3,2,883.0
2,122,1.11,2,677.0
3,164,0.59,1,532.0
4,158,0.64,1,556.0
5,156,1.59,3,1116.0
6,169,1.49,2,1385.0
7,141,1.27,2,895.0
8,127,1.03,2,719.0
9,136,1.08,1,808.0
10,146,0.82,1,593.0
11,152,1.15,2,865.0
12,165,1.24,2,1013.0
13,136,1.18,1,794.0
14,161,1.35,2,1195.0
15,131,1.13,1,740.0
16,167,1.33,2,1111.0
17,165,1.19,1,884.0
18,146,1.13,2,742.0
19,167,1.37,1,1030.0
20,127,1.5,2,1048.0
21,142,1.12,1,875.0
22,161,1.17,1,848.0
23,168,0.78,1,721.0
24,148,1.25,2,925.0
25,169,1.42,2,1080.0
26,139,0.73,1,502.0
27,135,1.48,2,989.0
28,136,1.64,3,1104.0
29,135,1.29,2,871.0
30,138,1.27,1,964.0
31,127,1.03,2,654.0
32,157,1.48,1,1046.0
33,157,1.04,1,816.0
34,148,1.52,3,1237.0
35,160,1.32,1,1162.0
36,155,1.26,2,879.0
37,145,1.34,2,1069.0
38,150,1.3,2,1072.0
39,163,1.31,2,1057.0
40,131,1.48,1,969.0
41,136,1.08,1,734.0
42,134,1.45,2,962.0
43,128,1.14,1,730.0
44,158,1.5,1,1304.0
45,161,1.2,1,956.0
46,167,0.84,1,772.0
47,131,1.41,1,1016.0
48,151,1.23,1,836.0
49,144,1.03,2,742.0
50,158,1.42,2,1122.0
51,137,1.67,3,1133.0
52,134,1.13,1,750.0
53,151,1.26,1,1046.0
54,125,0.81,1,506.0
55,163,1.47,2,1318.0
56,162,1.4,2,1021.0
57,154,1.08,1,832.0
58,153,1.67,3,1150.0
59,157,0.56,1,440.0
60,124,1.04,2,580.0
61,137,1.08,2,666.0
62,135,1.75,3,1299.0
63,127,1.23,2,773.0
64,144,1.97,3,1418.0
65,151,0.62,1,421.0
66,145,1.99,3,1587.0
67,141,0.89,1,627.0
68,150,1.81,3,1358.0
69,162,1.32,2,1176.0
70,129,1.73,3,1004.0
71,131,1.47,2,963.0
72,147,1.07,2,786.0
73,125,1.08,2,743.0
74,139,1.13,2,777.0
75,124,1.08,1,663.0
76,142,1.37,1,875.0
77,128,0.63,1,363.0
78,148,1.18,1,864.0
79,135,1.87,3,1262.0
80,165,1.2,1,990.0
81,141,1.78,3,1129.0
82,127,0.86,1,546.0
83,139,1.08,1,751.0
84,133,1.13,2,744.0
85,158,1.27,2,1003.0
86,156,1.34,2,1150.0
87,169,1.45,2,1103.0
88,153,1.09,2,917.0
89,130,0.64,1,416.0
90,159,1.93,3,1688.0
91,152,1.8,3,1231.0
92,150,1.26,2,936.0
93,163,1.26,1,924.0
94,153,1.25,2,1052.0
95,169,0.58,1,441.0
96,126,1.29,1,805.0
97,168,1.33,1,1106.0
98,142,1.15,2,735.0
99,165,1.97,3,1625.0
100,126,1.16,2,804.0
101,144,1.49,2,1073.0
102,122,1.2,2,805.0
103,157,0.54,1,420.0
104,139,0.97,1,667.0
105,153,1.79,3,1369.0
106,168,0.51,1,424.0
107,163,1.74,3,1404.0
108,163,1.39,2,1020.0
109,149,1.01,2,677.0
110,136,1.44,2,979.0
111,129,1.41,2,819.0
112,154,1.78,3,1357.0
113,139,1.72,3,1315.0
114,137,1.01,2,685.0
115,164,0.55,1,446.0
116,163,1.09,2,888.0
117,146,1.69,3,1357.0
118,168,1.41,1,1303.0
119,155,1.02,2,790.0
120,142,1.22,2,858.0
121,151,1.29,2,1071.0
122,129,1.0,1,639.0
123,130,1.28,2,824.0
124,157,1.97,3,1701.0
125,125,1.28,1,880.0
126,160,0.51,1,408.0
127,166,1.98,3,1479.0
128,153,0.66,1,500.0
129,155,1.61,3,1373.0
130,156,1.24,2,870.0
131,136,0.68,1,458.0
132,159,1.91,3,1503.0
133,159,1.38,2,1207.0
134,131,1.42,2,837.0
135,140,1.17,1,811.0
136,159,1.31,2,1041.0
137,138,0.66,1,451.0
138,122,1.24,1,756.0
139,137,1.69,3,1042.0
140,138,0.89,1,608.0
141,166,1.26,2,1046.0
142,125,1.38,1,854.0
143,135,1.42,2,958.0
144,127,0.97,1,678.0
145,167,1.53,3,1265.0
146,137,1.28,2,877.0
147,167,1.07,1,885.0
148,162,0.7,1,624.0
149,158,1.46,1,1038.0
150,168,1.46,2,1214.0
151,168,0.54,1,499.0
152,131,1.95,3,1150.0
153,164,1.32,2,1082.0
154,129,0.83,1,530.0
155,126,1.42,2,886.0
156,165,1.23,2,913.0
157,120,0.67,1,362.0
158,168,1.3,1,1201.0
159,155,1.02,1,711.0
160,140,1.08,2,832.0
161,156,1.49,2,1151.0
162,143,1.36,2,1070.0
163,144,1.57,3,1119.0
164,126,1.55,3,1074.0
165,161,1.04,2,837.0
166,136,1.58,3,967.0
167,148,1.14,1,844.0
168,149,1.27,1,852.0
169,126,0.92,1,574.0
170,152,1.08,1,813.0
171,126,1.09,2,680.0
172,143,1.52,3,1195.0
173,130,1.1,1,644.0
174,128,1.46,1,925.0
175,131,1.2,2,778.0
176,154,1.58,3,1095.0
177,123,0.68,1,418.0
178,155,1.1,2,767.0
179,147,1.05,1,772.0
180,132,0.83,1,603.0
181,142,1.54,3,1082.0
182,138,1.81,3,1249.0
183,161,1.28,1,1133.0
184,156,1.66,3,1424.0
185,158,1.44,2,1126.0
186,143,1.87,3,1337.0
187,135,1.2,2,802.0
188,152,1.37,2,937.0
189,131,1.09,2,707.0
190,153,1.1,2,926.0
191,126,1.23,1,852.0
192,130,1.23,1,800.0
193,150,1.33,1,988.0
194,148,1.03,2,686.0
195,132,0.56,1,370.0
196,150,1.45,2,979.0
197,121,1.71,3,1138.0
198,158,1.18,1,1025.0
199,134,1.26,2,929.0
200,130,1.03,2,663.0
201,153,1.84,3,1267.0
202,158,1.49,1,1177.0
203,123,1.08,2,598.0
204,130,1.79,3,1280.0
205,148,1.95,3,1443.0
206,121,1.2,2,799.0
207,135,1.18,2,796.0
208,158,1.37,2,1071.0
209,132,1.71,3,1241.0
210,156,1.47,2,1147.0
211,136,1.08,1,734.0
212,140,1.83,3,1153.0
213,163,1.28,2,1043.0
214,138,1.11,2,842.0
215,126,1.24,1,703.0
216,157,1.13,2,887.0
217,127,1.28,1,732.0
218,132,1.35,2,980.0
219,156,1.19,1,1021.0
220,121,1.21,2,732.0
221,160,1.87,3,1481.0
222,130,0.63,1,410.0
223,143,1.57,3,1111.0
224,125,1.46,2,903.0
225,145,1.8,3,1292.0
226,126,1.09,2,680.0
227,158,1.0,2,790.0
228,138,1.45,2,900.0
229,125,1.87,3,1169.0
230,162,1.16,2,1034.0
231,148,1.44,1,959.0
232,162,1.29,2,940.0
233,158,1.55,3,1224.0
234,121,1.36,2,815.0
235,138,1.2,2,820.0
236,123,1.13,2,688.0
237,125,1.6,3,900.0
238,168,0.99,1,832.0
239,156,1.29,2,1006.0
240,147,0.82,1,597.0
241,149,1.31,1,1074.0
242,126,1.11,1,699.0
243,128,1.41,1,993.0
244,144,1.16,2,919.0
245,152,0.77,1,579.0
246,120,1.4,2,832.0
247,125,0.81,1,506.0
248,137,1.09,1,739.0
249,129,0.93,1,594.0
250,147,1.33,1,1075.0
251,130,1.04,2,744.0
252,152,1.39,2,1056.0
253,120,1.11,2,666.0
254,132,1.01,2,660.0
255,156,1.31,1,1012.0
256,139,1.69,3,1163.0
257,120,1.33,2,878.0
258,122,1.15,2,772.0
259,137,0.52,1,353.0
260,160,1.06,1,763.0
261,133,0.96,1,632.0
262,150,1.31,1,982.0
263,146,1.34,2,880.0
264,136,1.01,2,680.0
265,165,1.36,2,1010.0
